Date,Region,Product,Category,Units_Sold,Unit_Price,Revenue,Cost,Profit,Sales_Rep,Customer_Segment
2024-03-22,East,Monitor 4K,Electronics,11,599.99,6599.89,3959.93,2639.96,Carol Davis,SMB
2024-03-25,West,Laptop Pro,Electronics,5,1299.99,6499.95,3899.97,2599.98,Frank Wilson,Consumer
2024-04-01,North,Cloud Suite,Software,52,199.99,10399.48,3119.84,7279.64,Alice Johnson,Enterprise
2024-04-05,South,Wireless Mouse,Accessories,110,29.99,3298.90,1649.45,1649.45,Bob Smith,Consumer
2024-04-08,East,USB-C Hub,Accessories,48,49.99,2399.52,1199.76,1199.76,Carol Davis,SMB
2024-04-12,West,Keyboard Mech,Accessories,62,89.99,5579.38,2789.69,2789.69,David Lee,Enterprise
2024-04-15,North,Monitor 4K,Electronics,25,599.99,14999.75,8999.85,5999.90,Grace Kim,Enterprise
2024-04-18,South,Laptop Pro,Electronics,9,1299.99,11699.91,7019.95,4679.96,Eve Martinez,SMB
2024-04-22,East,Cloud Suite,Software,31,199.99,6199.69,1859.91,4339.78,Carol Davis,Enterprise
2024-04-25,West,Wireless Mouse,Accessories,88,29.99,2639.12,1319.56,1319.56,Frank Wilson,Consumer
2024-05-01,North,Laptop Pro,Electronics,16,1299.99,20799.84,12479.90,8319.94,Alice Johnson,Enterprise
2024-05-05,South,USB-C Hub,Accessories,60,49.99,2999.40,1499.70,1499.70,Bob Smith,SMB
2024-05-08,East,Keyboard Mech,Accessories,45,89.99,4049.55,2024.78,2024.78,Carol Davis,Consumer
2024-05-12,West,Cloud Suite,Software,35,199.99,6999.65,2099.90,4899.75,David Lee,Enterprise
2024-05-15,North,Monitor 4K,Electronics,20,599.99,11999.80,7199.88,4799.92,Grace Kim,SMB
2024-05-18,South,Wireless Mouse,Accessories,130,29.99,3898.70,1949.35,1949.35,Eve Martinez,Consumer
2024-05-22,East,Laptop Pro,Electronics,7,1299.99,9099.93,5459.96,3639.97,Carol Davis,Enterprise
2024-05-25,West,Monitor 4K,Electronics,13,599.99,7799.87,4679.92,3119.95,Frank Wilson,SMB
2024-06-01,North,Cloud Suite,Software,48,199.99,9599.52,2879.86,6719.66,Alice Johnson,Enterprise
2024-06-05,South,Keyboard Mech,Accessories,52,89.99,4679.48,2339.74,2339.74,Bob Smith,Consumer
2024-06-08,East,USB-C Hub,Accessories,75,49.99,3749.25,1874.63,1874.63,Carol Davis,SMB
2024-06-12,West,Laptop Pro,Electronics,11,1299.99,14299.89,8579.93,5719.96,David Lee,Enterprise
2024-06-15,North,Wireless Mouse,Accessories,100,29.99,2999.00,1499.50,1499.50,Grace Kim,Consumer
2024-06-18,South,Monitor 4K,Electronics,16,599.99,9599.84,5759.90,3839.94,Eve Martinez,Enterprise
2024-06-22,East,Cloud Suite,Software,38,199.99,7599.62,2279.89,5319.73,Carol Davis,SMB
2024-06-25,West,Keyboard Mech,Accessories,70,89.99,6299.30,3149.65,3149.65,Frank Wilson,Consumer
2024-07-01,North,Laptop Pro,Electronics,18,1299.99,23399.82,14039.89,9359.93,Alice Johnson,Enterprise
2024-07-05,South,Cloud Suite,Software,42,199.99,8399.58,2519.87,5879.71,Bob Smith,Enterprise
2024-07-08,East,Monitor 4K,Electronics,14,599.99,8399.86,5039.92,3359.94,Carol Davis,SMB
2024-07-12,West,USB-C Hub,Accessories,82,49.99,4099.18,2049.59,2049.59,David Lee,Consumer
2024-07-15,North,Wireless Mouse,Accessories,115,29.99,3448.85,1724.43,1724.43,Grace Kim,SMB
2024-07-18,South,Keyboard Mech,Accessories,48,89.99,4319.52,2159.76,2159.76,Eve Martinez,Consumer
2024-07-22,East,Laptop Pro,Electronics,9,1299.99,11699.91,7019.95,4679.96,Carol Davis,Enterprise
2024-07-25,West,Cloud Suite,Software,25,199.99,4999.75,1499.93,3499.83,Frank Wilson,SMB
2024-08-01,North,Monitor 4K,Electronics,28,599.99,16799.72,10079.83,6719.89,Alice Johnson,Enterprise
2024-08-05,South,Laptop Pro,Electronics,7,1299.99,9099.93,5459.96,3639.97,Bob Smith,Consumer
2024-08-08,East,Wireless Mouse,Accessories,98,29.99,2939.02,1469.51,1469.51,Carol Davis,SMB
2024-08-12,West,Keyboard Mech,Accessories,58,89.99,5219.42,2609.71,2609.71,David Lee,Enterprise
2024-08-15,North,Cloud Suite,Software,55,199.99,10999.45,3299.84,7699.62,Grace Kim,Enterprise
2024-08-18,South,USB-C Hub,Accessories,65,49.99,3249.35,1624.68,1624.68,Eve Martinez,SMB
2024-08-22,East,Monitor 4K,Electronics,19,599.99,11399.81,6839.89,4559.92,Carol Davis,Enterprise
2024-08-25,West,Laptop Pro,Electronics,10,1299.99,12999.90,7799.94,5199.96,Frank Wilson,SMB
2024-09-01,North,Wireless Mouse,Accessories,105,29.99,3148.95,1574.48,1574.48,Alice Johnson,Consumer
2024-09-05,South,Cloud Suite,Software,36,199.99,7199.64,2159.89,5039.75,Bob Smith,Enterprise
2024-09-08,East,USB-C Hub,Accessories,58,49.99,2899.42,1449.71,1449.71,Carol Davis,Consumer
2024-09-12,West,Monitor 4K,Electronics,21,599.99,12599.79,7559.87,5039.92,David Lee,Enterprise
2024-09-15,North,Keyboard Mech,Accessories,47,89.99,4229.53,2114.77,2114.77,Grace Kim,SMB
2024-09-18,South,Laptop Pro,Electronics,13,1299.99,16899.87,10139.92,6759.95,Eve Martinez,Enterprise
2024-09-22,East,Cloud Suite,Software,44,199.99,8799.56,2639.87,6159.69,Carol Davis,SMB
2024-09-25,West,Wireless Mouse,Accessories,78,29.99,2339.22,1169.61,1169.61,Frank Wilson,Consumer
2024-10-01,North,Laptop Pro,Electronics,20,1299.99,25999.80,15599.88,10399.92,Alice Johnson,Enterprise
2024-10-05,South,Monitor 4K,Electronics,17,599.99,10199.83,6119.90,4079.93,Bob Smith,SMB
2024-10-08,East,Keyboard Mech,Accessories,63,89.99,5669.37,2834.69,2834.69,Carol Davis,Enterprise
2024-10-12,West,Cloud Suite,Software,50,199.99,9999.50,2999.85,6999.65,David Lee,Enterprise
2024-10-15,North,USB-C Hub,Accessories,70,49.99,3499.30,1749.65,1749.65,Grace Kim,Consumer
2024-10-18,South,Wireless Mouse,Accessories,140,29.99,4198.60,2099.30,2099.30,Eve Martinez,SMB
2024-10-22,East,Laptop Pro,Electronics,11,1299.99,14299.89,8579.93,5719.96,Carol Davis,Enterprise
2024-10-25,West,USB-C Hub,Accessories,55,49.99,2749.45,1374.73,1374.73,Frank Wilson,Consumer
2024-11-01,North,Cloud Suite,Software,58,199.99,11599.42,3479.83,8119.59,Alice Johnson,Enterprise
2024-11-05,South,Keyboard Mech,Accessories,42,89.99,3779.58,1889.79,1889.79,Bob Smith,Consumer
2024-11-08,East,Monitor 4K,Electronics,24,599.99,14399.76,8639.86,5759.90,Carol Davis,Enterprise
2024-11-12,West,Wireless Mouse,Accessories,92,29.99,2759.08,1379.54,1379.54,David Lee,SMB
2024-11-15,North,Laptop Pro,Electronics,15,1299.99,19499.85,11699.91,7799.94,Grace Kim,Enterprise
2024-11-18,South,USB-C Hub,Accessories,80,49.99,3999.20,1999.60,1999.60,Eve Martinez,Consumer
2024-11-22,East,Cloud Suite,Software,33,199.99,6599.67,1979.90,4619.77,Carol Davis,SMB
2024-11-25,West,Monitor 4K,Electronics,15,599.99,8999.85,5399.91,3599.94,Frank Wilson,Enterprise
2024-12-01,North,Keyboard Mech,Accessories,55,89.99,4949.45,2474.73,2474.73,Alice Johnson,Consumer
2024-12-05,South,Cloud Suite,Software,47,199.99,9399.53,2819.86,6579.67,Bob Smith,Enterprise
2024-12-08,East,Laptop Pro,Electronics,13,1299.99,16899.87,10139.92,6759.95,Carol Davis,Enterprise
2024-12-12,West,USB-C Hub,Accessories,68,49.99,3399.32,1699.66,1699.66,David Lee,SMB
2024-12-15,North,Monitor 4K,Electronics,30,599.99,17999.70,10799.82,7199.88,Grace Kim,Enterprise
2024-12-18,South,Wireless Mouse,Accessories,125,29.99,3748.75,1874.38,1874.38,Eve Martinez,Consumer
2024-12-22,East,Keyboard Mech,Accessories,50,89.99,4499.50,2249.75,2249.75,Carol Davis,SMB
2024-12-25,West,Laptop Pro,Electronics,8,1299.99,10399.92,6239.95,4159.97,Frank Wilson,Enterprise
2024-12-28,North,Cloud Suite,Software,60,199.99,11999.40,3599.82,8399.58,Alice Johnson,Enterprise
2024-12-30,South,Monitor 4K,Electronics,20,599.99,11999.80,7199.88,4799.92,Bob Smith,SMB
